,s1,s41,s42,s43,a0,a2,a301,a4,a501,a6,a7a,a7aa,a7b,a7c,a8a,a10,a10a,a11,a1299,a121,a122,a123,a124,a125,a126,a127,a128,a12a,a13,a14,a15,a16,a17,a18,a21,a281,a282,a283,a284,a285,a286,a3001,a3002,a3003,a3004,a3005,a3006,a3007,a3008,a3009,a3010,a3011,a3012,a311,a312,a313,a31a,a31b,a32,a35,a36,a431,a432,a433,a434,a58,a59a,a59c,a59e,a59f,a611,a612,a613,a614,a62,a63,a64,a65,a66,a6799,a6701,a6702,a6703,a6704,a6705,a6706,a6707,a6708,a67a,a681,a682,a68a,a69,a70,a71a,a71b,a72,a73,a74,a75a,a81,a82,a85,a89a,a89b,a89c,a89d,a90a,a90b,a90c,a90d,b1,b2,b3,b5,b6,b1001,b1002,b1003,b1004,b1005,b1006,b1007,b1008,b1009,b1010,b1011,b1012,b1013,b12,b161,b162,b163,b164,b165,b166,b167,b168,b169,a60k,b7,a371,a372,a373,a421,a422,a423,a425,a7b
0,1,4,7,17,2015/10/4 16:27,1,1956,1,1,1,6, ,4,1976,30000,1, ,103,0,0,0,1,0,0,0,0,0, ,170,160,3,5,5,5,3,1,1,4,4,1,1,1,5,1,5,5,5,5,1,1,5,5,5,1,4,1, , ,1,3,5,5,3,5,1,5, , , , ,1,1,2,2,50000,2,2,1,2,0,1,0,0,0,0,0,0,0, ,1,0,0,3,1981,1956,1981,6,1,5,20000,5, , ,-2,1,1,16,-2,-8,1,16,3,1,3,2,50000,2,2,2,2,5,5,1,2,2,2,4,2,1,2,90,90,60,60,60,75,60,60,75,1,6,2,97,97,4,4,4,5,4
1,1,4,7,19,2015/10/2 17:21,1,1983,1,1,1,12, ,1,2005,48000,1, ,90,0,0,0,0,1,0,0,0,0, ,176,110,5,5,3,5,2,5,2,3,5,5,1,1,4,4,1,4,2,2,1,4,5,5,1,4,5,5,7,2,1,4,5,6,5,8,9,1,4,14,1,2,1,1,1,2,80000,5,3,3,1,0,1,0,0,0,0,0,0,0, ,0,1,1,3,2009,1983,2009,9,1,5,32000,1,3,1,1957,11,4,1,1957,11,4,1,2,1,4,2,70000,4,4,-8,-8,5,5,4,5,5,4,-8,5,4,3,85,85,70,80,90,90,90,85,95, ,6,1,0,1,2,1,1,1,1
2,1,4,7,19,2015/10/17 10:58,2,1948,1,1,1,3, ,4,-2,23000,1, ,99,0,0,0,0,0,0,0,1,0, ,156,129,4,4,4,5,3,2,2,3,4,2,1,2,5,4,5,4,4,4,4,2,4,4,4,3,4,2,5,5,3,3,3,5,5,6,3,5, , , , ,2,1,2,2,72000,4,2,1,2,0,1,0,0,0,0,0,0,0, ,0,1,0,3,1970,1943,1970,3,1,5,23000,5, , ,-2,1,4,1,-2,-8,1,1,1,1,4,3,30000,3,2,3,3,3,3,2,2,2,3,-8,3,2,3,60,60,60,60,60,80,60,60,70,1,5,2,1,1,4,2,4,4,4
3,1,4,7,17,2015/10/6 21:31,2,1954,1,1,1,12, ,4,1975,50000,4,1979,90,0,1,0,0,0,0,0,0,0, ,170,146,4,4,5,5,1,4,2,1,4,4,4,2,4,2,2,2,3,3,1,1,5,5,1,2,3,3,3,3,4,4,4,5,5,5,5,5, , , , ,1,1,2,2,100000,2,3,1,1,0,1,0,0,0,0,0,0,0, ,0,1,0,3,1979,1951,1979,6,1,5,40000,5, , ,1930,3,4,1,-2,3,4,1,1,2,5,2,60000,3,3,-8,-8,5,4,4,4,4,4,4,4,-8,3,60,60,60,60,60,60,60,60,60,1,6,2,1,1,4,4,-8,4,4
4,1,4,7,22,2015/9/7 20:10,1,1973,1,1,1,4, ,4,1988,22000,1, ,91,0,0,0,0,1,0,0,0,0, ,176,171,3,3,5,4,1,1,1,1,4,1,1,1,5,5,5,5,5,2,5,1,5,5,3,2,2,1,7,2,1,4,4,1,1,1,1,1,4,15,2,3,1,1,2,2,40000,3,2,1,1,0,1,0,0,0,0,0,0,0, ,0,1,1,3,1998,1973,1998,4,1,4,18000,1,3,2,1943,4,4,2,1948,4,1,2,3,2,3,3,40000,2,2,1,1,1,4,2,2,2,1,-8,1,1,2,100,40,80,50,20,70,90,90,100, ,4,1,0,1,4,4,4,5,4
5,1,4,7,21,2015/9/14 12:53,1,1929,1,1,1,3, ,-8,-2,48000,1, ,60,0,0,0,0,0,0,0,0,1, ,164,124,3,2,2,5,1,1,1,5,4,1,1,1,5,5,5,5,5,4,1,1,5,5,5,1,5,1, , ,1,3,4,3,2,4,2,5, , , , ,1,1,2,2,48000,1,3,0,2,0,1,0,0,0,0,0,0,0, ,2,4,0,7,1954, , , , , , , , , ,-2,-8,-8,16,-2,1,-8,15,2,2,4,3,72000,4,1,-8,-8,5,4,2,4,1,1,-8,5,1,4,80,80,80,80,80,80,80,80,80,1,1,6,3,3,4,4,2,1,-8
6,1,4,7,20,2015/10/17 17:26,2,1963,1,1,1,4, ,4,1979,40000,1, ,400,0,0,0,0,1,0,0,0,0, ,158,150,3,5,4,5,3,2,3,4,4,1,1,1,5,3,1,5,4,5,2,1,5,5,5,4,3,2,1,5,1,5,5,5,3,8,1,5, , , , ,-1,1,-1,-1,70000,5,3,1,1,0,1,0,0,0,0,0,0,0, ,1,0,0,6,1987, , , , , , , , , ,1925,3,1,-8,1925,3,1,-8,2,1,3,2,-3,5,5,4,4,5,5,4,5,5,5,-8,5,3,5,100,100,-2,99,99,100,100,100,100, ,6,2,1,1,1,1,2,5,4
7,1,4,7,15,2015/9/30 16:49,2,1934,1,1,1,3, ,2, ,0,1, ,52,0,0,0,1,0,0,0,0,0, ,150,80,3,3,4,5,1,1,1,3,4,1,1,1,5,5,5,5,5,5,4,5,5,5,5,3,3,1,7,7,1,4,4,10,10,10,3,6, , , , ,2,2,2,2,0,1,3,1,2,0,1,0,0,0,0,0,0,0, ,4,0,0,7,1952, , , , , , , , , ,1915,1,1,2,1916,-8,1,15,2,2,4,1,-2,3,3,3,3,4,-8,-8,-8,-8,4,-8,4,4,3,80,80,80,80,80,80,80,80,80, ,6,4,3,1,5,5,5,1,2
8,1,4,7,21,2015/9/14 16:21,2,1977,1,0,3,3, ,4,1990,10000,1, ,40,0,0,0,0,0,0,0,0,1, ,160,110,3,4,4,1,3,2,3,2,3,3,4,1,4,3,2,4,4,4,3,3,4,4,1,3,3,3,3,6,1,4,4,5,5,8,3,5, , , , ,1,1,2,2,40000,4,2,1,2,0,1,0,0,0,0,0,0,0, ,1,1,2,3,2001,1977,2001,4,1,1,40000,1,3,1,1943,3,1,2,1943,3,1,2,2,1,4,-8,100000,5,4,5,4,4,5,3,4,3,3,5,4,4,3,100,80,70,80,70,60,80,80,70,3,6,2,1,1,5,4,1,5,4
9,1,4,7,20,2015/10/2 9:37,1,1966,1,1,1,6, ,4,1989,60000,1, ,54,0,1,0,0,0,0,0,0,0, ,170,140,5,5,5,5,1,2,2,4,4,5,1,1,4,3,2,4,4,3,2,1,4,5,1,3,4,3,2,2,4,4,4,4,7,3,3,1,3,-1,1,3,1,1,2,2,40000,3,3,1,2,0,1,0,0,0,0,0,0,0, ,0,1,0,4,1989,1971,2003,9,1,5,40000,1,3,1,1929,3,1,1,1939,1,1,12,3,3,3,3,100000,5,5,5,5,5,5,5,5,4,4,-8,4,2,5,70,70,50,70,50,50,80,60,70, ,6,2,1,1,4,4,5,4,4
